Timestep,KendallTau,MAP,a
7,0.8440130899070372,0.7341690306862275,1.0
8,0.847564123599476,0.7890363081256198,1.0
9,0.8476145804692611,0.6461290957107613,1.0
7,0.8526311405841379,0.7187181667234019,1.1
9,0.8484649500488644,0.6073762915997117,1.1
8,0.859105754653026,0.7643338546868783,1.1
8,0.8646393528778504,0.724290256698479,1.2
7,0.8550819351716012,0.7476680495135167,1.2
9,0.8536253790427271,0.6139646446819196,1.2
7,0.8569872164857091,0.7036807724967629,1.3
9,0.8537078287187186,0.6046248519066755,1.3
8,0.8680261950030076,0.713312280415874,1.3
9,0.8603116078240005,0.6085167632508585,1.4
7,0.8618597044252506,0.6926488959523984,1.4
8,0.8721016260250474,0.76201555229241,1.4
8,0.876827112623785,0.6813682307883278,1.5
7,0.8644344241265192,0.6839209215318887,1.5
9,0.8604446825405306,0.59910932042033,1.5
7,0.8616861367132784,0.6934586218310081,1.6
8,0.8760323303766453,0.6359144750154642,1.6
9,0.8634259682548048,0.5855889020797602,1.6
7,0.8620438109986561,0.6360645322227421,1.7
8,0.8748826960751569,0.6175111175921252,1.7
9,0.8659348073721908,0.6033722451431005,1.7
7,0.8672667770085444,0.6154979634772482,1.8
8,0.8721149404321796,0.5997726649469025,1.8
9,0.8661697925695732,0.5925473540534268,1.8
7,0.8668382708203634,0.5937909187326855,1.9
8,0.8716795975871986,0.6072048121900394,1.9
9,0.864516774758182,0.585573166552995,1.9
