Timestep,KendallTau,MAP,a
7,0.818072081694426,0.9221431069897594,1.0
8,0.8331646472077636,0.6393612022734239,1.0
9,0.8178395983953263,0.8711736979799685,1.0
7,0.8365749466391295,0.9303601126338739,1.1
9,0.8304317321597898,0.9123787996551329,1.1
8,0.8517806046619013,0.8271515858396435,1.1
8,0.8631629745121088,0.8681734654638753,1.2
7,0.8248259520841958,0.9481291619749858,1.2
9,0.8254783868603116,0.812046217641646,1.2
7,0.8390494434547042,0.9348167403141858,1.3
9,0.8123284045285095,0.857018733223261,1.3
8,0.8599279095874155,0.8681734654638753,1.3
9,0.823069726469671,0.8757501809508357,1.4
7,0.82276473137901,0.9221431069897594,1.4
8,0.8571030897345401,0.8568975641583296,1.4
8,0.8373206778373494,0.8496499933366864,1.5
7,0.8221032956037371,0.9221431069897594,1.5
9,0.8087255904243149,0.8141902317835646,1.5
7,0.8239199769029705,0.915981371462215,1.6
8,0.8128832829773861,0.6914178446576669,1.6
9,0.8065608885453542,0.8277005834950721,1.6
7,0.8350229894643368,0.9339255692325866,1.7
8,0.8028161536935655,0.795090042128628,1.7
9,0.7818070568487888,0.7329846006074496,1.7
7,0.8331260691927667,0.810608864239379,1.8
8,0.8056230131317567,0.5674091436506563,1.8
9,0.7917478614503114,0.7864858732240658,1.8
7,0.8176098154387295,0.9180960912239936,1.9
8,0.7744237140318485,0.7096860364294574,1.9
9,0.7837745908625405,0.7701562360211992,1.9
