Timestep,KendallTau,MAP,a
7,0.7931158358039824,0.5571714689644464,1.0
8,0.7383602059437815,0.4910212156755751,1.0
8,0.7656903171417041,0.5555578974544914,1.1
7,0.8136416816004264,0.5659107046291523,1.1
8,0.7712288470281184,0.5246874249859435,1.2
7,0.8161384646009818,0.5343928432680229,1.2
7,0.8178678679994525,0.4937974358698089,1.3
8,0.7907461121403696,0.5685662806832831,1.3
8,0.8086910269651078,0.5540854921783175,1.4
7,0.8083219853640724,0.5037779338615086,1.4
8,0.8135500454347919,0.5259949182318698,1.5
7,0.8026249848127016,0.49818840186998165,1.5
7,0.8054442662033866,0.4578225492930491,1.6
8,0.8185410707643905,0.5002880607269365,1.6
7,0.7941073618445772,0.42551040503673004,1.7
8,0.8133012796102457,0.4954574406215645,1.7
7,0.7977342697965141,0.4477631802301509,1.8
8,0.8164289334384879,0.5342741101553844,1.8
7,0.7912103009197907,0.4355571911671689,1.9
8,0.8083699113944797,0.49323334618413495,1.9
